Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
30041,52938,43 months,13.81%,1567.707304,CB,1 year,Rental,344828,Not Verified,13-07-2010,Relocation,14.81849836,0,8/2/99,23,,8,0,32764,0.545360693,19,0,1/8/13,10370.7873,2748,???
36660,27411,47 months,9.45%,700.0329276,BB,10 years and above,Under Mortgage,375904,Not Verified,22-01-2011,Pay-off Other Loans,6.505444318,2,16-11-1990,21,,10,0,23733,0.037785691,18,0,1/11/14,782.8629276,1300,???
35381,109831,41 months,15.74%,3480.715466,DD,10 years and above,Own,1148972,Verified,2/5/11,Pay-off Other Loans,18.47848777,0,16-11-1990,,102,13,1,1077594,0.976064549,21,0,1/5/12,90640.97547,3497,???
29180,110017,44 months,14.32%,3228.714837,EA,9 years,Under Mortgage,393715,Not Verified,18-04-2008,Pay-off Other Loans,7.577940885,0,31-10-1996,,105,10,1,66272,0.812120035,17,0,1/5/11,25198.79484,3251,???
29752,49682,42 months,7.00%,1337.182464,AC,Not available,Under Mortgage,851081,Not Verified,22-08-2011,Holiday,6.683943581,0,16-02-1999,,,7,0,81657,0.405148404,28,0,1/12/14,1399.112464,3266,???
38078,53794,44 months,13.45%,1555.397775,CB,5 years,Under Mortgage,1388415,Not Verified,22-08-2010,Agriculture,7.331958773,1,29-04-1992,2,,8,0,188610,0.855084944,29,0,1/12/13,822.6877754,2442,???
27109,153897,37 months,15.10%,5227.791155,DB,1 year,Rental,779741,Not Verified,3/5/10,Pay-off Other Loans,20.00771232,0,16-10-1996,34,,6,0,323912,0.842495405,29,0,1/2/13,16148.48116,881,???
37832,43973,44 months,6.93%,1134.598828,AB,Less than 1 year,Rental,256346,Source Verified,1/9/10,Start Business,22.25908408,0,3/11/94,,,6,0,9413,0.131890764,19,0,1/7/12,24499.80883,3918,???
37778,64155,43 months,14.46%,1920.671291,CB,4 years,Rental,274722,Verified,22-12-2011,Pay Credit Card Bill,20.44776137,0,24-07-2007,,,9,0,143150,0.733426531,16,0,1/6/15,2011.751291,563,???
33789,165130,36 months,8.41%,5205.820279,AE,Less than 1 year,Under Mortgage,755569,Source Verified,10/10/11,Pay-off Other Loans,18.19443393,0,20-07-1995,,,15,0,223359,0.487533029,34,0,1/3/13,88418.18028,3009,???
39625,85056,44 months,9.88%,2312.393377,BD,2 years,Under Mortgage,388091,Verified,6/1/11,Home Renovation,18.2682902,0,30-03-2003,,,13,0,149621,0.364135766,29,0,1/5/14,1221.303377,899,???
30213,98802,41 months,5.70%,2657.596611,AB,4 years,Under Mortgage,1189734,Not Verified,2/11/10,Pay-off Other Loans,11.40436087,0,13-03-1997,,,11,0,1324058,0.215777066,31,0,1/9/12,255.86,2905,???
27091,109917,39 months,10.00%,3312.531945,BA,3 years,Rental,546551,Source Verified,26-01-2012,Pay Credit Card Bill,9.561864175,0,12/12/05,,,10,0,142278,0.35516032,10,0,1/10/13,56373.34194,2886,???
37945,87908,43 months,8.07%,2361.016559,AE,6 years,Under Mortgage,864377,Verified,2/11/10,Pay-off Other Loans,19.04799381,0,21-01-2001,,,10,0,124983,0.459060407,15,0,1/5/14,2521.506559,3707,???
28436,21974,40 months,14.01%,690.7520296,CC,2 years,Own,387507,Source Verified,21-09-2011,Others,0.775866441,0,13-12-2000,25,,1,0,3924,0.100520408,6,0,1/4/12,690.7520296,3390,???
26119,131961,42 months,7.59%,3587.320224,AC,1 year,Rental,1316885,Source Verified,19-11-2011,Pay-off Other Loans,5.834094512,0,18-11-2000,,,9,0,76349,0.170051619,15,0,1/11/14,23833.15022,3098,???
30670,92203,43 months,15.30%,2798.756602,DC,10 years and above,Under Mortgage,821694,Verified,16-11-2009,Pay-off Other Loans,13.72149901,0,3/7/90,37,,17,0,74510,0.250322974,50,322.305494,1/8/11,2801.616602,2739,???
31966,250162,60 months,13.26%,5725.42464,CA,3 years,Under Mortgage,452398,Verified,23-09-2010,Pay-off Other Loans,17.93055332,0,19-06-1985,40,,13,0,281792,0.60711007,44,0,1/7/15,5980.84464,2884,???
31003,131854,37 months,10.10%,4161.94857,BD,1 year,Under Mortgage,370738,Not Verified,26-12-2010,Pay-off Other Loans,17.2556693,0,26-08-2005,39,,5,0,131477,0.739285509,9,0,1/4/13,2479.38857,2549,???
27114,197988,38 months,14.80%,6557.161397,DA,7 years,Under Mortgage,867907,Source Verified,26-08-2010,Pay Credit Card Bill,18.63296561,0,15-07-1976,,,8,0,148764,0.639495882,24,0,1/11/10,6557.161397,3168,???
30635,187108,40 months,7.84%,5330.699625,AE,6 years,Rental,522232,Verified,6/9/10,Pay-off Other Loans,15.03842946,0,14-06-1997,,,6,0,135447,0.299638421,32,0,1/11/13,5613.289625,3418,???
30089,110027,49 months,13.43%,2929.53034,CD,10 years and above,Rental,335502,Not Verified,7/1/11,Pay-off Other Loans,22.68364872,0,13-05-2001,,,9,0,79474,0.576395557,11,0,1/4/11,2929.53034,3475,???
38296,44000,42 months,13.50%,1320.311731,CD,10 years and above,Under Mortgage,1323783,Not Verified,13-12-2010,Others,14.35048484,1,3/12/90,8,,12,0,693428,0.801978987,34,150.9390964,1/3/14,1320.311731,1020,???
25763,55079,56 months,10.99%,1261.613853,BE,5 years,Under Mortgage,270612,Source Verified,11/4/11,Pay-off Other Loans,17.92652299,0,16-03-2001,74,,14,0,15052,0.138970951,23,0,1/2/11,54198.34385,2885,???
24766,55160,43 months,12.16%,1588.78469,BD,Less than 1 year,Under Mortgage,598675,Not Verified,17-11-2009,Others,22.70715214,0,31-03-2005,,,5,0,186409,0.687823185,10,0,1/2/11,1588.78469,1180,???
26399,55012,40 months,12.87%,1698.516317,BE,10 years and above,Under Mortgage,791153,Source Verified,30-12-2011,Holiday,7.370137583,0,3/2/68,52,,6,0,49715,0.34059295,24,0,1/3/15,1918.846317,420,???
40358,52893,36 months,16.57%,1874.387324,FC,Less than 1 year,Under Mortgage,563007,Not Verified,18-10-2008,Pay-off Other Loans,25.28356194,0,21-09-1995,29,,21,0,331276,0.635492193,40,0,1/8/11,1876.587324,3232,???
33507,164805,41 months,10.88%,4831.01479,BC,4 years,Under Mortgage,956254,Verified,27-08-2011,Pay-off Other Loans,20.65408578,0,23-04-1995,,,9,0,204295,0.626424591,14,0,1/11/14,5223.60479,3082,???
25197,54941,43 months,12.45%,1590.205927,BE,Less than 1 year,Rental,189395,Not Verified,18-12-2009,Others,4.509720912,0,14-03-2007,,,11,0,13296,0.116025324,11,0,1/4/12,1590.205927,2961,???
30987,109953,43 months,12.61%,3191.20099,CA,2 years,Rental,240593,Not Verified,27-04-2010,Pay Credit Card Bill,3.136209104,0,25-01-1986,,,5,0,210870,0.841095894,12,0,1/9/11,81183.29099,3100,???
28813,63398,38 months,9.86%,1949.032962,BA,3 years,Rental,1630304,Source Verified,7/6/11,Purchase Car,7.477026003,0,5/12/99,,,8,0,6026,0.144659259,11,168.6836951,1/4/14,8179.542962,527,???
28475,11091,59 months,13.75%,259.6782202,CD,3 years,Rental,159229,Not Verified,18-04-2011,Relocation,25.69053212,0,8/10/07,,,4,0,46147,0.643023863,11,0,1/10/12,8271.96822,2902,???
39209,27320,48 months,9.90%,691.6399697,BB,3 years,Rental,396366,Not Verified,2/3/08,Others,0.505076697,0,17-12-2003,0,0,2,0,130476,0.607903665,8,0,1/5/11,64.02,3379,???
40081,118912,42 months,10.93%,3420.164359,BB,10 years and above,Under Mortgage,1107862,Not Verified,2/7/10,Agriculture,15.39377761,0,1/4/99,,,6,0,272281,0.717039306,13,0,1/8/12,57780.40436,820,???
37410,16399,48 months,13.63%,445.0674928,DD,Less than 1 year,Under Mortgage,327398,Not Verified,27-04-2008,Pay-off Other Loans,13.7227496,3,28-05-1989,5,,3,0,0,0,18,0,1/2/12,558.2574928,2711,???
34543,219887,44 months,16.48%,6691.318853,EA,4 years,Under Mortgage,1071354,Not Verified,15-10-2009,Pay-off Other Loans,9.399104031,0,12/3/00,,,7,0,134162,0.85045151,18,0,1/6/12,337.92,1639,???
33315,110077,42 months,10.27%,3131.142993,BC,5 years,Rental,423486,Not Verified,20-02-2011,Others,15.8665919,0,15-03-1999,71,,13,0,5336,0.045881511,22,0,1/7/14,3237.072993,159,???
31437,252938,59 months,21.48%,6976.915585,FB,8 years,Under Mortgage,1052337,Verified,1/1/12,Pay-off Other Loans,9.029099908,0,13-12-2001,,,9,0,108750,0.997971584,33,0,1/8/13,196197.1556,3468,???
25891,384926,60 months,16.89%,9544.04106,DD,7 years,Under Mortgage,938849,Verified,17-09-2011,Pay-off Other Loans,17.15917578,0,3/8/91,,,15,0,523822,0.579207457,46,0,1/9/15,9544.04106,2030,???
39707,220085,56 months,19.23%,5982.838551,ED,2 years,Rental,595575,Source Verified,5/9/11,Agriculture,11.50587677,0,10/1/05,77,,1,0,0,0,15,0,1/8/12,44027.76855,1869,???
33512,109813,45 months,5.89%,2725.896296,AB,10 years and above,Rental,656702,Not Verified,22-07-2011,Marriage,11.40154301,0,29-12-1999,,,9,0,137391,0.230827238,21,0,1/3/15,2751.966296,1838,???
39173,76846,40 months,9.32%,2242.25771,AD,3 years,Rental,415643,Not Verified,14-08-2009,Pay Credit Card Bill,23.74656779,0,24-02-1997,,,11,0,246578,0.524777093,42,0,1/1/12,22489.73771,2524,???
32038,164822,58 months,15.05%,4016.856974,DD,10 years and above,Rental,440484,Not Verified,22-11-2010,Pay Credit Card Bill,12.75118481,0,12/3/91,44,,14,0,103948,0.325756361,33,0,1/4/12,127264.927,1501,???
27687,38365,48 months,7.13%,920.9783426,AC,8 years,Under Mortgage,795034,Not Verified,10/8/11,Home Renovation,22.05820199,0,16-03-1995,,,20,0,191152,0.457472533,41,0,1/8/12,38466.50834,1189,???
29237,57128,47 months,6.19%,1371.80209,AB,2 years,Under Mortgage,657230,Source Verified,5/9/11,Medical,16.59810862,0,3/10/94,,,7,0,49606,0.192745362,12,0,1/7/13,39107.41209,1978,???
37791,165064,36 months,19.29%,6075.231699,FD,Less than 1 year,Under Mortgage,1372690,Not Verified,7/2/10,Start Business,10.04826204,0,14-12-1997,41,,11,0,140736,0.961193963,33,0,1/1/13,459.0716986,1393,???
33691,62503,58 months,19.16%,1660.651157,EB,2 years,Rental,449382,Not Verified,21-12-2011,Others,12.19260024,2,9/3/06,6,,11,0,0,0,20,0,1/7/12,870.7411569,3104,???
29111,220087,52 months,15.58%,5847.010827,DD,2 years,Under Mortgage,496115,Verified,13-03-2011,Pay-off Other Loans,10.22125703,0,1/4/99,,,9,0,50474,0.222337178,23,0,1/7/13,111162.1108,3991,???
28676,44107,41 months,12.96%,1337.263774,CA,10 years and above,Rental,471519,Source Verified,4/6/11,Pay-off Other Loans,14.02843575,0,19-08-2003,,,3,0,6639,0.842098841,6,0,1/9/13,19274.08377,3458,???
25646,132120,60 months,7.93%,2674.713323,AD,10 years and above,Under Mortgage,548130,Not Verified,20-12-2011,Pay Credit Card Bill,12.18338192,0,14-01-1995,,,5,0,225374,0.261433623,13,0,1/9/15,5611.713323,2021,???
39379,55193,38 months,13.95%,1805.050599,CC,3 years,Rental,526515,Not Verified,12/7/11,Others,16.67947635,0,26-11-2006,,,13,0,161469,0.797046576,12,174.7641139,1/12/12,3849.620599,57,???
33063,52164,42 months,11.10%,1504.382762,CD,Less than 1 year,Rental,219815,Not Verified,9/2/08,Others,23.23745958,0,22-04-2001,0,0,5,0,48655,0.140306307,6,828.5828115,1/1/10,1504.382762,2691,???
39486,82306,59 months,11.80%,1845.234908,BE,3 years,Under Mortgage,814472,Not Verified,26-09-2010,Purchase Car,7.630814691,0,5/12/88,,85,7,1,0,0,22,0,1/8/13,5868.484908,778,???
30338,76919,45 months,15.02%,2246.159946,DB,1 year,Rental,447205,Source Verified,22-05-2011,Pay Credit Card Bill,20.40460972,0,27-09-2007,,,10,0,62762,0.756023232,20,0,1/9/12,2286.419946,153,???
35936,76809,47 months,15.77%,2200.909465,DD,5 years,Under Mortgage,760905,Source Verified,22-11-2010,Home Renovation,17.7029945,0,7/5/99,58,116,3,1,58718,0.723081887,15,0,1/8/13,34477.10946,2349,???
34518,30966,40 months,12.19%,945.9572753,BE,7 years,Under Mortgage,639329,Source Verified,9/8/11,Pay-off Other Loans,15.32977802,0,11/6/99,42,,13,0,51128,0.646090272,29,0,1/11/14,952.7772753,1540,???
32820,11637,46 months,8.42%,296.863264,AE,6 years,Under Mortgage,675929,Source Verified,8/7/11,Pay Credit Card Bill,19.9358683,0,1/11/99,,,10,0,68013,0.307838794,42,0,1/9/12,10132.07326,990,???
39429,110025,38 months,11.90%,3489.234241,BE,10 years and above,Under Mortgage,838149,Verified,16-10-2011,Agriculture,18.43456204,0,8/8/96,,,10,0,83362,0.29551631,34,0,1/3/14,28084.79424,3073,???
37826,32989,39 months,8.02%,963.6761954,AC,1 year,Rental,150015,Not Verified,3/7/08,Agriculture,1.043830101,0,3/9/07,,,2,0,1096,0.027107039,3,0,1/8/11,970.4961954,1940,???
34756,19898,48 months,9.11%,496.2345758,AE,5 years,Rental,829005,Source Verified,20-10-2009,Purchase Car,24.39337611,0,8/5/98,,,12,0,439077,0.722538241,34,0,1/5/13,2391.314576,3793,???
29935,153826,60 months,14.42%,3613.155412,CB,10 years and above,Rental,705251,Verified,2/11/11,Pay-off Other Loans,18.035634,0,23-12-2003,,116,11,1,85768,0.308185334,19,0,1/9/15,3613.155412,546,???
36610,105586,47 months,13.43%,2901.375753,CB,Less than 1 year,Rental,318763,Source Verified,22-10-2011,Start Business,15.91300737,0,18-02-2005,,,8,0,63030,0.52241259,11,0,1/7/15,3203.325753,3526,???
26110,319907,60 months,19.50%,8386.4726,ED,6 years,Under Mortgage,485901,Verified,2/10/11,Buy House,16.95884761,0,23-12-1998,62,,14,0,143171,0.374197717,28,0,1/2/15,51662.6726,692,???
36520,22146,40 months,13.10%,686.2509266,DC,1 year,Rental,360983,Not Verified,4/7/08,Pay-off Other Loans,7.387158934,2,10/3/00,20,73,6,2,25119,0.13045045,16,0,1/6/10,11542.92093,3782,???
37677,88161,60 months,20.09%,2340.125166,ED,10 years and above,Under Mortgage,761228,Verified,7/11/11,Pay-off Other Loans,2.337880405,1,8/11/95,13,,7,0,48112,0.911434353,27,0,1/10/14,48135.32517,216,???
33743,40632,55 months,16.27%,1052.981011,EA,2 years,Rental,558906.16,Not Verified,26-06-2010,Others,21.71431525,0,22-02-1995,22,,7,0,192901,0.800001503,28,0,1/9/10,1052.981011,180,???
33156,274913,58 months,19.87%,7411.382611,GB,1 year,Rental,822063,Verified,10/11/10,Agriculture,23.27443952,0,20-11-1998,,,11,0,234469,0.617702801,23,0,1/10/11,7744.572611,2282,???
37663,44037,43 months,11.48%,1253.988576,BE,1 year,Rental,257354,Not Verified,20-05-2010,Pay-off Other Loans,10.49135839,0,9/1/07,,,9,0,37904,0.316227845,16,0,1/11/13,1351.998576,2403,???
39211,385029,55 months,18.23%,10377.50767,EB,10 years and above,Under Mortgage,1135464,Verified,16-10-2011,Pay-off Other Loans,17.97668782,0,30-04-2000,,,5,0,334915,0.732120652,24,0,1/10/13,137123.7977,3952,???
39879,88063,46 months,20.86%,2796.499954,GD,1 year,Rental,1137938,Not Verified,7/1/10,Pay-off Other Loans,16.86841547,1,16-12-1985,19,,25,0,586087,0.402209492,43,315.8360073,1/9/13,2829.059954,292,???
30807,55057,45 months,8.48%,1432.712522,AD,3 years,Under Mortgage,443731,Not Verified,23-09-2009,Agriculture,6.618029891,0,19-05-2001,,,8,0,98710,0.760474524,9,0,1/4/13,1459.222522,3484,???
27004,164988,37 months,15.46%,5634.304122,DC,3 years,Own,935704,Not Verified,29-03-2010,Others,22.64765165,0,15-06-2000,,,11,0,233345,0.96142799,21,0,1/11/10,5634.304122,2872,???
38653,176058,37 months,15.38%,6005.348328,CD,6 years,Rental,1209325,Not Verified,20-12-2011,Pay Credit Card Bill,6.339337745,0,24-10-1997,29,,10,0,178633,0.425585387,19,0,1/4/14,48713.83833,323,???
34628,16684,46 months,14.56%,475.455789,CE,Less than 1 year,Rental,334341,Not Verified,15-10-2010,Pay-off Other Loans,1.882123492,0,21-03-2005,32,,13,0,14317,0.520620158,18,0,1/3/12,10520.98579,3716,???
26443,68381,42 months,5.82%,1803.526088,AB,4 years,Rental,783200,Source Verified,8/7/11,Pay-off Other Loans,27.92005806,0,14-04-1991,,,11,0,52016,0.454572313,27,0,1/11/14,1824.866088,869,???
32936,43966,36 months,7.54%,1368.480063,AB,7 years,Under Mortgage,570262,Not Verified,20-11-2009,Purchase Car,17.450389,0,29-04-1985,,,8,0,29930,0.084896892,16,0,1/9/12,1502.350063,3617,???
37825,329876,53 months,11.60%,7983.199511,BC,5 years,Under Mortgage,1382122,Verified,11/11/11,Pay Credit Card Bill,11.05016622,0,9/10/96,,,15,0,135259,0.30573529,32,0,1/5/14,146367.7095,1738,???
38433,54810,60 months,7.39%,1095.389913,AD,10 years and above,Under Mortgage,991076,Not Verified,11/5/11,Purchase Car,4.201294082,0,12/12/91,,,11,0,34105,0.066121531,19,0,1/9/15,1095.389913,3956,???
31206,211167,47 months,17.21%,6207.465942,GA,5 years,Under Mortgage,831391,Not Verified,19-03-2008,Pay-off Other Loans,12.28415269,0,22-06-1990,52,70,17,3,228636,0.79831987,24,0,1/12/11,6473.885942,636,???
34346,39795,43 months,14.34%,1188.827897,CE,4 years,Rental,322344,Verified,22-05-2011,Others,0.891876596,1,31-07-2006,16,,6,0,3254,0.054805933,12,0,1/12/11,39010.3479,3904,???
29315,39619,56 months,7.75%,845.4385582,AE,2 years,Rental,521353,Not Verified,4/10/10,Pay-off Other Loans,22.67767047,0,5/11/02,,,8,0,21646,0.150687915,20,0,1/9/11,16146.98856,897,???
30915,175861,39 months,11.06%,5388.447146,BE,10 years and above,Rental,1029747,Not Verified,12/2/11,Pay Credit Card Bill,24.49632188,0,5/9/87,,,14,0,628096,0.610733659,21,0,1/5/12,124733.2771,2222,???
31290,60333,60 months,16.44%,1481.324057,EA,7 years,Rental,268371,Not Verified,17-09-2010,Others,19.75486269,0,26-01-1988,57,,6,0,38799,0.587257753,9,0,1/7/15,1602.324057,3362,???
39880,66018,60 months,16.77%,1632.512329,DB,10 years and above,Rental,886726,Source Verified,25-01-2012,Pay-off Other Loans,9.038934761,0,24-05-1993,60,,17,0,112442,0.663492186,26,0,1/8/15,1632.512329,853,???
24882,55098,37 months,11.79%,1783.310721,CD,1 year,Own,570532,Not Verified,12/5/08,Pay-off Other Loans,22.92164676,0,17-06-1998,,,9,0,135566,0.716361589,10,0,1/4/11,1783.310721,2390,???
37774,132005,47 months,11.67%,3512.652522,BD,6 years,Rental,853271,Verified,26-10-2011,Pay-off Other Loans,20.03570827,0,25-04-1998,,,11,0,130414,0.719280276,25,0,1/7/15,3889.182522,3729,???
39389,88133,39 months,11.26%,2709.131683,BB,1 year,Own,271981,Verified,10/6/09,Medical,0.011891909,0,26-06-1991,,,14,0,2963,0.035557838,14,0,1/6/10,2709.131683,1282,???
39890,99099,44 months,10.40%,2718.632324,BD,Less than 1 year,Rental,498448,Not Verified,26-04-2008,Pay-off Other Loans,14.88301138,0,27-06-1996,35,,8,0,68143,0.621647579,23,0,1/11/11,2813.672324,3903,???
29096,384902,49 months,17.91%,11129.78193,EA,7 years,Rental,8241917,Verified,13-07-2011,Pay-off Other Loans,1.467028443,0,27-08-1996,70,,10,0,188100,0.711799606,33,0,1/9/11,1580.681929,1827,???
35957,99060,47 months,8.99%,2508.150493,AE,Less than 1 year,Under Mortgage,526097,Not Verified,27-01-2010,Others,21.53510527,0,26-05-1994,78,111,14,1,112768,0.298703737,51,0,1/7/13,12062.75049,3121,???
31845,88145,47 months,12.62%,2386.397771,BE,3 years,Rental,339327,Not Verified,4/10/09,Pay-off Other Loans,9.771708357,1,16-10-2002,17,,7,0,65215,0.382272621,8,0,1/11/12,27682.10777,897,???
28773,164948,48 months,14.73%,4568.404424,DA,Less than 1 year,Rental,838889,Verified,19-04-2010,Pay-off Other Loans,19.94544622,0,12/2/96,61,,8,0,42283,0.985193081,19,559.3297421,1/10/11,15623.84442,1967,???
30894,165080,43 months,12.73%,4801.268022,CA,1 year,Under Mortgage,1379542,Verified,17-02-2009,Start Business,15.74244117,2,8/11/91,8,,20,0,1201170,0.631182739,51,0,1/11/10,26.73,778,???
39776,274821,37 months,10.38%,8711.819564,BB,10 years and above,Under Mortgage,1931515,Verified,2/6/10,Home Renovation,2.206145742,0,11/10/93,60,,10,0,1094511,0.036275309,27,0,1/4/12,99786.75956,3207,???
29863,32895,56 months,10.99%,753.4476423,BC,Less than 1 year,Own,242912,Not Verified,13-06-2011,Holiday,22.49560655,3,16-10-1998,15,,8,0,76897,0.520294845,33,182.7617574,1/7/14,753.4476423,2649,???
29974,22009,43 months,11.26%,624.4235334,BE,4 years,Rental,1465980,Verified,15-05-2010,Education,8.862298993,2,1/10/94,15,,9,0,19938,0.127520988,21,0,1/9/11,6980.553533,3279,???
40078,192644,49 months,11.29%,4925.07976,BC,3 years,Under Mortgage,1029091,Verified,30-11-2010,Pay-off Other Loans,18.01865043,0,30-05-1993,,,9,0,856598,0.247044851,31,0,1/6/10,177579.0998,2557,???
38925,219840,37 months,13.58%,7304.743036,CD,2 years,Rental,469541,Not Verified,21-06-2009,Pay-off Other Loans,19.9713047,0,10/4/98,,,9,0,225619,0.968670131,14,0,1/5/12,7682.923036,3581,???
25739,209018,41 months,13.35%,6376.262725,CB,6 years,Rental,1058909,Not Verified,7/12/09,Pay Credit Card Bill,11.2942074,1,24-05-1998,11,,12,0,213233,0.416751955,26,0,1/5/11,143808.6127,1203,???
32981,165183,50 months,17.43%,4670.168381,DE,6 years,Rental,1434037,Source Verified,18-09-2011,Pay Credit Card Bill,11.72630795,0,11/7/97,66,,16,0,219072,0.489267267,27,0,1/2/12,136596.0284,1373,???
34886,123042,43 months,7.45%,3269.167039,AD,1 year,Rental,1204572,Source Verified,19-09-2011,Others,8.909194669,0,14-10-2005,,,8,0,29845,0.247718882,14,0,1/2/15,3516.997039,3855,???
39263,132190,57 months,14.21%,3202.179859,CE,3 years,Under Mortgage,623288,Verified,30-05-2011,Pay-off Other Loans,9.722301449,0,11/8/05,,,6,0,83589,0.480491535,14,0,1/3/11,132174.9799,2593,???
31253,59590,46 months,7.71%,1500.494287,AD,3 years,Under Mortgage,387815,Not Verified,7/7/10,Agriculture,22.38539868,0,22-02-1993,31,,13,0,32584,0.145768413,44,0,1/4/14,1723.464287,2855,???
37253,55043,60 months,15.81%,1332.994162,DB,10 years and above,Rental,463577,Not Verified,9/9/11,Others,21.27855002,0,15-04-1985,,,27,0,105740,0.152164524,39,0,1/9/15,1332.994162,1116,???
38644,121196,45 months,7.07%,3073.965293,AC,9 years,Under Mortgage,1296882,Not Verified,11/5/11,Others,0.532493437,0,8/2/94,42,,6,0,25513,0.133248797,13,0,1/1/15,3149.975293,1722,???
34344,27642,45 months,8.14%,714.8281315,AC,Less than 1 year,Own,453317,Verified,18-01-2009,Purchase Car,24.10948963,0,14-04-1997,,,12,0,7023,0.141230139,22,0,1/11/11,8248.508131,84,???
26346,109832,44 months,7.68%,2872.138271,AD,3 years,Under Mortgage,714859,Verified,16-08-2011,Pay-off Other Loans,14.29095388,0,23-02-1996,,,9,0,106887,0.337177847,12,0,1/3/15,3119.088271,2611,???
30350,164958,60 months,11.91%,3661.895747,BC,8 years,Under Mortgage,542926,Verified,26-11-2011,Pay-off Other Loans,17.53434536,0,11/7/96,,,9,0,148737,0.785805768,27,0,1/9/15,3661.895747,1236,???
24201,200054,58 months,14.72%,4840.254462,DC,6 years,Under Mortgage,586616,Verified,13-02-2011,Pay Credit Card Bill,23.65872135,0,7/10/03,,,14,0,118014,0.302137374,24,0,1/3/13,385.3644621,1648,???
25238,49556,46 months,11.03%,1325.990175,BA,Less than 1 year,Under Mortgage,455650,Not Verified,15-06-2009,Others,12.92834101,0,24-10-2003,,,12,0,39302,0.328220601,10,0,1/7/11,11932.30017,2993,???
25067,58247,60 months,16.97%,1446.664444,DB,6 years,Own,261735,Source Verified,6/10/11,Buy House,18.23347939,1,21-02-1998,15,,6,0,59401,0.608451747,12,0,1/9/15,1446.664444,1606,???
27378,115431,58 months,15.99%,2870.004983,DE,9 years,Own,652504,Source Verified,20-04-2011,Start Business,4.003789795,0,28-06-1984,60,,4,0,83914,0.333274785,8,0,1/7/12,5680.064983,3829,???
28008,52864,40 months,15.26%,1694.244562,DC,Less than 1 year,Rental,155307,Source Verified,19-03-2011,Others,8.796905497,0,7/5/08,,,3,0,18157,0.618160627,3,0,1/8/13,3070.454562,1214,???
35586,65870,43 months,12.83%,1918.998938,CB,10 years and above,Rental,340900,Source Verified,30-06-2009,Others,5.962645451,0,9/6/79,,,2,0,84044,0.679196836,12,0,1/7/10,1918.998938,1070,???
35019,55159,53 months,16.61%,1475.749463,EC,Less than 1 year,Under Mortgage,733911,Source Verified,18-02-2011,Pay-off Other Loans,12.90786141,0,28-01-2000,,,9,0,1297144,0.864177086,25,0,1/12/11,43752.04946,1593,???
34484,43860,46 months,14.25%,1242.912916,CE,Less than 1 year,Rental,125135,Not Verified,5/2/10,Agriculture,2.26313708,0,10/12/06,,,2,0,11506,0.506007147,8,333.7990412,1/11/13,1354.782916,2664,???
30869,263826,48 months,16.27%,7514.028179,DA,4 years,Rental,535987,Verified,20-01-2012,Pay-off Other Loans,6.350574012,0,4/5/99,33,,8,0,81212,0.528365583,30,0,1/10/14,116240.9982,3840,???
26414,57270,45 months,5.47%,1410.426956,AA,Not available,Under Mortgage,335105,Not Verified,11/5/11,Others,19.2005178,0,13-09-1980,,,6,0,41924,0.123179721,15,0,1/1/15,1540.336956,1091,???
38123,28551,48 months,11.84%,749.5752731,BC,4 years,Under Mortgage,854404,Not Verified,8/11/11,Pay-off Other Loans,15.10252704,0,9/6/01,45,,10,0,38893,0.298324501,25,0,1/11/12,28691.77527,2571,???
25721,55030,38 months,13.08%,1776.36353,CA,8 years,Under Mortgage,1645289,Source Verified,13-08-2011,Home Renovation,1.475117857,0,2/4/93,24,,7,0,91293,0.319766258,9,0,1/9/14,1834.22353,294,???
31284,79109,60 months,18.49%,2029.909116,EA,6 years,Rental,332386,Source Verified,23-11-2011,Home Renovation,13.65323231,0,10/2/04,41,,3,0,0,0,13,0,1/9/15,2029.909116,1686,???
24494,32947,42 months,10.51%,940.8969114,BB,8 years,Under Mortgage,439290,Not Verified,25-12-2008,Pay-off Other Loans,16.37918029,0,21-10-1999,,,24,0,161190,0.280932327,32,0,1/11/10,940.8969114,1490,???
39508,384952,37 months,12.64%,12616.22702,CA,10 years and above,Under Mortgage,1584536,Source Verified,8/3/11,Pay-off Other Loans,5.373857352,0,6/5/97,,,5,0,24639,0.091321903,22,0,1/3/13,158077.367,1846,???
28854,132090,48 months,12.59%,3516.792969,BE,10 years and above,Rental,820737,Not Verified,26-11-2009,Pay-off Other Loans,3.652901573,0,30-08-1989,,,5,0,262133,0.434128839,19,0,1/7/11,103744.613,642,???
